player,cost,position,team,bye
Josh Allen,$37,QB,BUF,7
Lamar Jackson,$36,QB,BAL,7
Tyreek Hill,$32,WR,MIA,12
Trey McBride,$31,TE,ARI,8
Omarion Hampton,$29,RB,LAC,12
Jaxon Smith-Njigba,$29,WR,SEA,8
Breece Hall,$28,RB,NYJ,9
Jalen Hurts,$28,QB,PHI,9
Marvin Harrison,$27,WR,ARI,8
George Kittle,$26,TE,SF,14
Garrett Wilson,$25,WR,NYJ,9
Alvin Kamara,$25,RB,NO,11
Joe Burrow,$24,QB,CIN,10
Kenneth Walker,$23,RB,SEA,8
Davante Adams,$21,WR,LAR,8
DK Metcalf,$21,WR,PIT,5
TreVeyon Henderson,$21,RB,NE,14
James Conner,$20,RB,ARI,8
DJ Moore,$20,WR,CHI,5
Sam LaPorta,$19,TE,DET,8
David Montgomery,$19,RB,DET,8
Patrick Mahomes,$19,QB,KC,10
RJ Harvey,$19,RB,DEN,12
Isiah Pacheco,$18,RB,KC,10
Rashee Rice,$18,WR,KC,10
DeVonta Smith,$17,WR,PHI,9
Tetairoa McMillan,$16,WR,CAR,14
Xavier Worthy,$16,WR,KC,10
Zay Flowers,$15,WR,BAL,7
George Pickens,$14,WR,DAL,10
Travis Kelce,$14,TE,KC,10
T.J. Hockenson,$14,TE,MIN,6
D'Andre Swift,$13,RB,CHI,5
Aaron Jones,$13,RB,MIN,6
Travis Hunter,$12,DB,WR,JAX,8
Baker Mayfield,$12,QB,TB,9
Jaylen Waddle,$11,WR,MIA,12
Mark Andrews,$11,TE,BAL,7
Calvin Ridley,$11,WR,TEN,10
Kaleb Johnson,$11,RB,PIT,5
Joe Mixon,$11,RB,HOU,6
Chris Olave,$11,WR,NO,11
Bo Nix,$10,QB,DEN,12
Jerry Jeudy,$10,WR,CLE,9
Rome Odunze,$10,WR,CHI,5
Quinshon Judkins,$10,RB,CLE,9
Tyrone Tracy,$9,RB,NYG,14
Deebo Samuel,$9,WR,WAS,12
Brian Robinson,$8,RB,SF,14
Evan Engram,$8,TE,DEN,12
Jakobi Meyers,$7,WR,LV,8
Travis Etienne,$7,RB,JAX,8
Ricky Pearsall,$7,WR,SF,14
Jordan Addison,$6,WR,MIN,6
Jaylen Warren,$6,RB,PIT,5
Cooper Kupp,$6,WR,SEA,8
Matthew Golden,$5,WR,GB,5
Tyler Warren,$5,TE,IND,11
Stefon Diggs,$5,WR,NE,14
David Njoku,$5,TE,CLE,9
Emeka Egbuka,$4,WR,TB,9
Khalil Shakir,$4,WR,BUF,7
Kyler Murray,$4,QB,ARI,8
Cam Skattebo,$4,RB,NYG,14
Jordan Mason,$3,RB,MIN,6
Jared Goff,$3,QB,DET,8
Zach Charbonnet,$3,RB,SEA,8
Javonte Williams,$3,RB,DAL,10
Chris Godwin,$3,WR,TB,9
J.K. Dobbins,$3,RB,DEN,12
Tucker Kraft,$3,TE,GB,5
Jayden Reed,$3,WR,GB,5
Jauan Jennings,$3,WR,SF,14
Justin Herbert,$3,QB,LAC,12
Colston Loveland,$2,TE,CHI,5
Brock Purdy,$2,QB,SF,14
Michael Pittman,$2,WR,IND,11
Dak Prescott,$2,QB,DAL,10
Keon Coleman,$2,WR,BUF,7
Josh Downs,$2,WR,IND,11
Austin Ekeler,$2,RB,WAS,12
Rhamondre Stevenson,$2,RB,NE,14
Tank Bigsby,$1,RB,JAX,8
Jayden Higgins,$1,WR,HOU,6
Kyle Pitts,$1,TE,ATL,5
Dalton Kincaid,$1,TE,BUF,7
Najee Harris,$1,RB,LAC,12
Nick Chubb,$1,RB,HOU,6
C.J. Stroud,$1,QB,HOU,6
Rashid Shaheed,$1,WR,NO,11
Brandon Aiyuk,$1,WR,SF,14
Jaydon Blue,$1,RB,DAL,10
Drake Maye,$1,QB,NE,14
Darnell Mooney,$1,WR,ATL,5
Jacory Croskey-Merritt,$1,RB,WAS,12
Brandon Aubrey,$1,K,DAL,10
Cameron Dicker,$1,K,LAC,12
Jake Bates,$1,K,DET,8
Braelon Allen,$1,RB,NYJ,9
Chris Boswell,$1,K,PIT,5
Caleb Williams,$1,QB,CHI,5
Keenan Allen,$1,WR,LAC,12
Jake Ferguson,$1,TE,DAL,10
Trey Benson,$1,RB,ARI,8
Chase McLaughlin,$1,K,TB,9
Harrison Butker,$1,K,KC,10
Marvin Mims,$1,WR,DEN,12
Jonnu Smith,$1,TE,PIT,5
Justin Fields,$1,QB,NYJ,9
Philadelphia Eagles,$1,DEF,PHI,9
Luther Burden,$1,WR,CHI,5
Jordan Love,$1,QB,GB,5
Denver Broncos,$1,DEF,DEN,12
Dallas Goedert,$1,TE,PHI,9
Washington Commanders,$1,DEF,WAS,12
Rachaad White,$1,RB,TB,9
Christian Kirk,$1,WR,HOU,6
Tyjae Spears,$1,RB,TEN,10
Pittsburgh Steelers,$1,DEF,PIT,5
J.J. McCarthy,$1,QB,MIN,6
Ray Davis,$1,RB,BUF,7
San Francisco 49ers,$1,DEF,SF,14
Tre' Harris,$1,WR,LAC,12
Rashod Bateman,$1,WR,BAL,7
Minnesota Vikings,$1,DEF,MIN,6
Ollie Gordon,$1,RB,MIA,12
Cam Little,$1,K,JAX,8
Evan McPherson,$1,K,CIN,10
Younghoe Koo,$1,K,ATL,5
Dylan Sampson,$1,RB,CLE,9
Jerome Ford,$1,RB,CLE,9
Bhayshul Tuten,$1,RB,JAX,8
Tyler Allgeier,$1,RB,ATL,5
Ka'imi Fairbairn,$1,K,HOU,6
Joshua Palmer,$1,WR,BUF,7
Adam Thielen,$1,WR,MIN,6
Zach Ertz,$1,TE,WAS,12
Trevor Lawrence,$1,QB,JAX,8
Cam Ward,$1,QB,TEN,10
Kyle Williams,$1,WR,NE,14
Isaac Guerendo,$1,RB,SF,14
Tyler Bass,$1,K,BUF,7
Wil Lutz,$1,K,DEN,12
Dont'e Thornton,$1,WR,LV,8
Baltimore Ravens,$1,DEF,BAL,7
Kareem Hunt,$1,RB,KC,10
Tyler Loop,$1,K,BAL,7
Seattle Seahawks,$1,DEF,SEA,8
Tampa Bay Buccaneers,$1,DEF,TB,9
Woody Marks,$1,RB,HOU,6
Cedric Tillman,$1,WR,CLE,9
Hunter Henry,$1,TE,NE,14
Detroit Lions,$1,DEF,DET,8
Houston Texans,$1,DEF,HOU,6
Chig Okonkwo,$1,TE,TEN,10
Will Shipley,$1,RB,PHI,9
Michael Penix,$1,QB,ATL,5
Kansas City Chiefs,$1,DEF,KC,10
Rico Dowdle,$1,RB,CAR,14
Isaiah Likely,$1,TE,BAL,7
Hollywood Brown,$1,WR,KC,10
Xavier Legette,$1,WR,CAR,14
DeMario Douglas,$1,WR,NE,14
Brenton Strange,$1,TE,JAX,8
Blake Corum,$1,RB,LAR,8
Jaylen Wright,$1,RB,MIA,12
Isaac TeSlaa,$1,WR,DET,8
Jake Elliott,$1,K,PHI,9
Daniel Carlson,$1,K,LV,8
Amari Cooper,$1,WR,LV,8
Darren Waller,$1,TE,MIA,12
Keaton Mitchell,$1,RB,BAL,7
Tua Tagovailoa,$1,QB,MIA,12
Elic Ayomanor,$1,WR,TEN,10
Matthew Stafford,$1,QB,LAR,8
Mason Taylor,$1,TE,NYJ,9
Romeo Doubs,$1,WR,GB,5
Wan'Dale Robinson,$1,WR,NYG,14
Bryce Young,$1,QB,CAR,14
DJ Giddens,$1,RB,IND,11
Kyle Monangai,$1,RB,CHI,5
Jack Bech,$1,WR,LV,8
DeAndre Hopkins,$1,WR,BAL,7
Pat Freiermuth,$1,TE,PIT,5
Roschon Johnson,$1,RB,CHI,5
Matt Gay,$1,K,WAS,12
Jalen McMillan,$1,WR,TB,9
Will Reichard,$1,K,MIN,6
Jalen Coker,$1,WR,CAR,14
Tory Horton,$1,WR,SEA,8
Elijah Arroyo,$1,TE,SEA,8
Aaron Rodgers,$1,QB,PIT,5
Shedeur Sanders,$1,QB,CLE,9
Buffalo Bills,$1,DEF,BUF,7
Tahj Brooks,$1,RB,CIN,10
Tennessee Titans,$1,DEF,TEN,10
Pat Bryant,$1,WR,DEN,12
Jaxson Dart,$1,QB,NYG,14
New York Jets,$1,DEF,NYJ,9
Kendre Miller,$1,RB,NO,11
New York Giants,$1,DEF,NYG,14
Sam Darnold,$1,QB,SEA,8
Mike Gesicki,$1,TE,CIN,10
New England Patriots,$1,DEF,NE,14
Raheem Mostert,$1,RB,LV,8
Green Bay Packers,$1,DEF,GB,5
Justice Hill,$1,RB,BAL,7
Miami Dolphins,$1,DEF,MIA,12
Los Angeles Chargers,$1,DEF,LAC,12
Tyler Lockett,$1,WR,TEN,10
Los Angeles Rams,$1,DEF,LAR,8
Cade Otton,$1,TE,TB,9
Geno Smith,$1,QB,LV,8
Miles Sanders,$1,RB,DAL,10
Brashard Smith,$1,RB,KC,10
Troy Franklin,$1,WR,DEN,12
Quentin Johnston,$1,WR,LAC,12
Anthony Richardson,$1,QB,IND,11
Alec Pierce,$1,WR,IND,11
Dalton Schultz,$1,TE,HOU,6
Dyami Brown,$1,WR,JAX,8
Joseph Ngata,$1,WR,,-
Michael Wilson,$1,WR,ARI,8
Jalen Royals,$1,WR,KC,10
Adonai Mitchell,$1,WR,IND,11
Ahmad Wagner,$1,WR,,-
Andre Baccellia,$1,WR,ARI,8
Jaylin Noel,$1,WR,HOU,6
Dalton Sturm,$1,QB,,-
Devin Neal,$1,RB,NO,11
Deshaun Fenwick,$1,RB,,-
MarShawn Lloyd,$1,RB,GB,5
Jarquez Hunter,$1,RB,LAR,8
Devwah Whaley,$1,RB,,-
Scotty Washington,$1,WR,,-
Terrance Ferguson,$1,TE,LAR,8
Thyrick Pitts,$1,WR,,-
Ja'Tavion Sanders,$1,TE,CAR,14
Oliver Martin,$1,WR,,-
Andrei Iosivas,$1,WR,CIN,10
Carson Meier,$1,TE,,-
Darius Slayton,$1,WR,NYG,14
Damien Caffrey,$1,TE,,-
Cole Kmet,$1,TE,CHI,5
Allen Hurns,$1,WR,MIA,12
Russell Wilson,$1,QB,NYG,14
Jordan James,$1,RB,SF,14
Elijah Cooks,$1,WR,PHI,9
Ja'Marcus Bradley,$1,WR,,-
Matthew Trickett,$1,K,,-
Roman Wilson,$1,WR,PIT,5
Nate Wieting,$1,TE,,-
Theo Johnson,$1,TE,NYG,14
Amba Etta-Tawo,$1,WR,,-
Lorenzo Lingard,$1,RB,,-
Harold Fannin,$1,TE,CLE,9
Terrell Bynum,$1,WR,,-
Tyler Higbee,$1,TE,LAR,8
Juwan Johnson,$1,TE,NO,11
Calvin Austin,$1,WR,PIT,5
Daniel Jones,$1,QB,IND,11
Garrett Gilbert,$1,QB,,-
Ryan Izzo,$1,TE,,-
Quali Conley,$1,RB,,-
Trevor Etienne,$1,RB,CAR,14
Hayden Rucci,$1,TE,MIA,12
Noah Gray,$1,TE,KC,10
Tyler Hudson,$1,WR,,-
Tyler Shough,$1,QB,NO,11
Qualan Jones,$1,RB,,-
Diontae Johnson,$1,WR,,-
Dontayvion Wicks,$1,WR,GB,5
Chad Beebe,$1,WR,,-
Jalen Milroe,$1,QB,SEA,8
Luke Sellers,$1,RB,,-
Taysom Hill,$1,TE,NO,11
Jaleel McLaughlin,$1,RB,DEN,12
Ryan Willis,$1,QB,,-
Jalen Morton,$1,QB,IND,11
Joe Flacco,$1,QB,CLE,9
Zion Bowens,$1,WR,,-
Dallas Cowboys,$1,DEF,DAL,10
K.J. Costello,$1,QB,,-
Elijah Mitchell,$1,RB,KC,10
Joshua Cephus,$1,WR,JAX,8
Max Wittek,$1,QB,,-
Indianapolis Colts,$1,DEF,IND,11
Branden Mack,$1,WR,,-
Xavier Restrepo,$1,WR,TEN,10
Las Vegas Raiders,$1,DEF,LV,8
Nick Sciba,$1,K,,-
Oronde Gadsden,$1,TE,LAC,12
Jacksonville Jaguars,$1,DEF,JAX,8
La'Michael Pettway,$1,TE,,-
New Orleans Saints,$1,DEF,NO,11
Kayshon Boutte,$1,WR,NE,14
Parker White,$1,K,,-
D.J. Montgomery,$1,WR,IND,11
Christian Watson,$1,WR,GB,5
Tyler Davis,$1,K,,-
Jordan Whittington,$1,WR,LAR,8
Ty Scott,$1,WR,,-
Ben Sinnott,$1,TE,WAS,12
Daniel Arias,$1,WR,,-
Tristan Vizcaino,$1,K,,-
Izaiah Gathings,$1,TE,,-
Brandin Cooks,$1,WR,NO,11
Tyler Conklin,$1,TE,LAC,12
Cole Murphy,$1,K,,-
Noah Fant,$1,TE,CIN,10
River Cracraft,$1,WR,,-
Jimmy Williams,$1,WR,,-
Audric Estime,$1,RB,PHI,9
Kearis Jackson,$1,WR,,-
Jalen Tolbert,$1,WR,DAL,10
Dresser Winn,$1,QB,,-
Andrew Mevis,$1,K,,-
Brett Maher,$1,K,,-
Dylan Stapleton,$1,TE,,-
Zack Moss,$1,RB,,-
Josh Crockett,$1,WR,,-
Jordan Jones,$1,RB,,-
Nate Iese,$1,TE,,-
Alstevis Squirewell,$1,RB,,-
Keilahn Harris,$1,WR,,-
Caleb Shudak,$1,K,,-
Holton Ahlers,$1,QB,,-
Gary Jennings,$1,WR,,-
Tim Boyle,$1,QB,,-
Stephen Gosnell,$1,WR,BUF,7
Kyle Allen,$1,QB,DET,8
Kendall Hinton,$1,WR,,-
Brian Johnson,$1,K,,-
Nic Shimonek,$1,QB,,-
Chris Streveler,$1,QB,,-
Kobe Lewis,$1,RB,,-
Kevin Davidson,$1,QB,,-
Richard Rodgers,$1,TE,,-
Isaac Rex,$1,TE,,-
Tyjon Lindsey,$1,WR,,-
Shaquan Davis,$1,WR,,-
Drew Plitt,$1,QB,,-
Jesse James,$1,TE,,-
Rashod Owens,$1,WR,,-
Brett Gabbert,$1,QB,,-
Jordan Ta'amu,$1,QB,,-
Tanner Morgan,$1,QB,,-
Phillip Sims,$1,QB,,-
James McCourt,$1,K,,-
Jawhar Jordan,$1,RB,HOU,6
Christian Trahan,$1,TE,,-
Tyler Mabry,$1,TE,,-
Case Cookus,$1,QB,,-
Irvin Charles,$1,WR,NYJ,9
Roosevelt Nix,$1,RB,,-
Jaelen Gill,$1,WR,,-
Thomas Greaney,$1,TE,,-
Keytaon Thompson,$1,WR,,-
T.J. Luther,$1,WR,,-
Johnny King,$1,WR,,-
Shedrick Jackson,$1,WR,LV,8
Isaiah Winstead,$1,WR,,-
Kedon Slovis,$1,QB,ARI,8
Blake Watson,$1,RB,,-
Korey Robertson,$1,WR,,-
Kristian Wilkerson,$1,WR,BUF,7
Parker Houston,$1,TE,,-
Kendall Milton,$1,RB,CIN,10
Dominick Wood-Anderson,$1,TE,,-
Kellen Mond,$1,QB,,-
Kyrese Rowan,$1,WR,,-
Kendall Blanton,$1,TE,,-
Kevin Hogan,$1,QB,,-
Mike Glennon,$1,QB,,-
Dakereon Joyner,$1,WR,,-
Luke Willson,$1,TE,,-
Kairee Robinson,$1,RB,,-
Ricky Person,$1,RB,,-
Garrett Dickerson,$1,TE,,-
Kalil Pimpleton,$1,WR,,-
Luke Benson,$1,TE,,-
Jake Tonges,$1,TE,SF,14
Mike Boone,$1,RB,,-
Luke Schoonmaker,$1,TE,DAL,10
Kendrick Bourne,$1,WR,,-
Jake Browning,$1,QB,CIN,10
Keilan Robinson,$1,RB,,-
Nick Westbrook-Ikhine,$1,WR,MIA,12
Parker Washington,$1,WR,JAX,8
Kylen Granson,$1,TE,PHI,9
Pokey Wilson,$1,WR,,-
Kobe Hudson,$1,WR,,-
Kyle Coleman,$1,RB,,-
Kameron Johnson,$1,WR,TB,9
Kameron Brown,$1,WR,,-
Kehinde Oginni,$1,TE,,-
Dareke Young,$1,WR,SEA,8
Jack Sorenson,$1,WR,,-
Keaontay Ingram,$1,RB,KC,10
Jake Luton,$1,QB,,-
Sean McKeon,$1,TE,IND,11
Keenen Brown,$1,TE,,-
Dredrick Snelson,$1,WR,,-
KeeSean Johnson,$1,WR,,-
Kelvin Harmon,$1,WR,,-
Kerryon Johnson,$1,RB,,-
KeVonn Mabon,$1,WR,,-
Keeon Johnson,$1,WR,,-
Ricky Seals-Jones,$1,TE,,-
Keon Hatcher,$1,WR,,-
Karel Hamilton,$1,WR,,-
Kendal Thompson,$1,WR,,-
Kenneth Dixon,$1,RB,,-
Duke Johnson,$1,RB,,-
Kenjon Barner,$1,RB,,-
Ketron Jackson,$1,WR,,-
Kisean Johnson,$1,WR,,-
Talik Keaton,$1,WR,,-
Ramel Keyton,$1,WR,,-
Saquon Barkley,$70,RB,PHI,9
Bijan Robinson,$68,RB,ATL,5
Justin Jefferson,$61,WR,MIN,6
CeeDee Lamb,$55,WR,DAL,10
Amon-Ra St. Brown,$55,WR,DET,8
Christian McCaffrey,$51,RB,SF,14
Ashton Jeanty,$50,RB,LV,8
Josh Jacobs,$44,RB,GB,5
A.J. Brown,$39,WR,PHI,9