,,,Passing,,,,Rushing,,,,Receiving,,,,Kick Ret,,Punt Ret,
Ricky Pearsall,SF,WR,0,0,0,0.0,8,38,4.8,0,61,811,13.3,5,0,0,0,0
Michael Penix,ATL,QB,3610,23,12,6.9,46,198,4.3,2,0,0,0.0,0,0,0,0,0
Samaje Perine,CIN,RB,0,0,0,0.0,31,128,4.1,1,15,106,7.1,1,0,0,0,0
A.T. Perry,DEN,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Dante Pettis,NO,WR,0,0,0,0.0,0,0,0.0,0,2,21,10.5,0,0,0,0,0
George Pickens,DAL,WR,0,0,0,0.0,3,16,5.3,0,67,978,14.6,6,0,0,0,0
Kenny Pickett,CLE,QB,394,2,2,6.6,6,30,5.0,0,0,0,0.0,0,0,0,0,0
Dameon Pierce,HOU,RB,0,0,0,0.0,60,258,4.3,2,10,73,7.3,0,346,0,0,0
Alec Pierce,IND,WR,0,0,0,0.0,0,0,0.0,0,37,608,16.4,4,0,0,0,0
Eddy Pineiro,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Michael Pittman,IND,WR,0,0,0,0.0,1,5,5.0,0,66,765,11.6,4,0,0,0,0
Kyle Pitts,ATL,TE,0,0,0,0.0,0,0,0.0,0,46,573,12.5,3,0,0,0,0
Ja'Lynn Polk,NE,WR,0,0,0,0.0,0,0,0.0,0,12,128,10.7,1,0,0,0,0
Tony Pollard,TEN,RB,0,0,0,0.0,215,918,4.3,5,31,225,7.3,1,0,0,0,0
Brandon Powell,FA,WR,0,0,0,0.0,0,0,0.0,0,3,29,9.7,0,25,0,178,0
Matt Prater,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Kaden Prather,BUF,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Dak Prescott,DAL,QB,4039,28,12,7.1,39,141,3.6,2,0,0,0.0,0,0,0,0,0
James Proche,TEN,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,131,0,84,0
Brock Purdy,SF,QB,4055,28,12,8.0,60,252,4.2,3,0,0,0.0,0,0,0,0,0
Spencer Rattler,NO,QB,798,4,3,6.5,17,83,4.9,1,0,0,0.0,0,0,0,0,0
Kalif Raymond,DET,WR,0,0,0,0.0,2,12,6.0,0,13,151,11.6,1,221,0,224,1
Jalen Reagor,LAC,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,110,0,30,0
Jayden Reed,GB,WR,0,0,0,0.0,17,99,5.8,1,58,728,12.6,5,0,0,127,0
Will Reichard,MIN,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Tip Reiman,ARI,TE,0,0,0,0.0,0,0,0.0,0,7,70,10.0,1,0,0,0,0
Nikko Remigio,KC,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,268,0,78,0
Hunter Renfrow,CAR,WR,0,0,0,0.0,0,0,0.0,0,14,137,9.8,1,0,0,0,0
Xavier Restrepo,TEN,WR,0,0,0,0.0,1,3,3.0,0,12,131,10.9,1,0,0,0,0
Craig Reynolds,DET,RB,0,0,0,0.0,12,52,4.3,0,3,23,7.7,0,0,0,0,0
Josh Reynolds,NYJ,WR,0,0,0,0.0,0,0,0.0,0,23,268,11.7,2,0,0,0,0
Patrick Ricard,BAL,RB,0,0,0,0.0,0,0,0.0,0,3,30,10.0,1,0,0,0,0
Rashee Rice,KC,WR,0,0,0,0.0,1,5,5.0,0,89,991,11.1,6,0,0,0,0
Brenden Rice,LAC,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Anthony Richardson,IND,QB,2647,15,11,6.9,117,651,5.6,7,0,0,0.0,0,0,0,0,0
Desmond Ridder,FA,QB,194,1,1,6.5,2,8,4.0,0,0,0,0.0,0,0,0,0,0
Calvin Ridley,TEN,WR,0,0,0,0.0,8,46,5.8,0,68,928,13.6,6,0,0,0,0
Ronnie Rivers,LAR,RB,0,0,0,0.0,5,22,4.4,0,1,7,7.0,0,27,0,0,0
Demarcus Robinson,SF,WR,0,0,0,0.0,0,0,0.0,0,25,343,13.7,2,0,0,0,0
Allen Robinson,FA,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Bijan Robinson,ATL,RB,0,0,0,0.0,285,1339,4.7,11,50,378,7.6,2,0,0,0,0
Brian Robinson,WAS,RB,0,0,0,0.0,174,735,4.2,6,21,149,7.1,1,0,0,0,0
Wan'Dale Robinson,NYG,WR,0,0,0,0.0,4,17,4.3,0,60,538,9.0,3,0,0,0,0
Keilan Robinson,PHI,RB,0,0,0,0.0,8,33,4.1,0,2,14,7.0,0,136,0,0,0
Aaron Rodgers,PIT,QB,3710,24,11,6.9,27,101,3.7,1,0,0,0.0,0,0,0,0,0
Chris Rodriguez,WAS,RB,0,0,0,0.0,60,253,4.2,2,6,43,7.2,0,30,0,0,0
John Parker Romo,NE,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Jalen Royals,KC,WR,0,0,0,0.0,0,0,0.0,0,32,381,11.9,3,0,0,0,0
Jeremy Ruckert,NYJ,TE,0,0,0,0.0,0,0,0.0,0,16,151,9.4,1,0,0,0,0
Mason Rudolph,PIT,QB,611,4,3,6.8,8,25,3.1,0,0,0,0.0,0,0,0,0,0
Cooper Rush,BAL,QB,202,1,1,6.7,2,8,4.0,0,0,0,0.0,0,0,0,0,0
Chad Ryland,ARI,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Drew Sample,CIN,TE,0,0,0,0.0,0,0,0.0,0,11,102,9.3,1,0,0,0,0
Dylan Sampson,CLE,RB,0,0,0,0.0,73,304,4.2,2,17,128,7.5,1,0,0,0,0
Deebo Samuel,WAS,WR,0,0,0,0.0,24,135,5.6,1,59,709,12.0,5,279,0,0,0
Curtis Samuel,BUF,WR,0,0,0,0.0,4,24,6.0,0,30,307,10.2,2,0,0,0,0
Raheim Sanders,LAC,RB,0,0,0,0.0,5,21,4.2,0,1,7,7.0,0,0,0,0,0
Shedeur Sanders,CLE,QB,417,3,2,6.6,7,30,4.3,1,0,0,0.0,0,0,0,0,0
Ja'Tavion Sanders,CAR,TE,0,0,0,0.0,0,0,0.0,0,44,439,10.0,3,0,0,0,0
Jason Sanders,MIA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Miles Sanders,DAL,RB,0,0,0,0.0,64,270,4.2,2,15,110,7.3,1,0,0,0,0
Cairo Santos,CHI,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Eric Saubert,SEA,TE,0,0,0,0.0,0,0,0.0,0,2,19,9.5,0,0,0,0,0
Luke Schoonmaker,DAL,TE,0,0,0,0.0,0,0,0.0,0,15,150,10.0,1,0,0,0,0
Cody Schrader,LAR,RB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Dalton Schultz,HOU,TE,0,0,0,0.0,0,0,0.0,0,50,519,10.4,3,0,0,0,0
Boston Scott,FA,RB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Tyler Scott,CHI,WR,0,0,0,0.0,1,5,5.0,0,3,31,10.3,0,131,0,0,0
Austin Seibert,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Trey Sermon,PIT,RB,0,0,0,0.0,33,133,4.0,1,5,35,7.0,0,0,0,0,0
Rashid Shaheed,NO,WR,0,0,0,0.0,7,42,6.0,0,55,802,14.6,5,344,0,239,1
Khalil Shakir,BUF,WR,0,0,0,0.0,2,11,5.5,0,72,775,10.8,4,0,0,0,0
Laviska Shenault,BUF,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Sterling Shepard,TB,WR,0,0,0,0.0,1,5,5.0,0,10,96,9.6,1,0,0,0,0
Trent Sherfield,DEN,WR,0,0,0,0.0,0,0,0.0,0,5,51,10.2,0,0,0,0,0
Will Shipley,PHI,RB,0,0,0,0.0,64,282,4.4,2,13,95,7.3,1,145,0,0,0
Tyler Shough,NO,QB,2432,13,11,6.6,57,269,4.7,3,0,0,0.0,0,0,0,0,0
Spencer Shrader,IND,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Trevor Siemian,FA,QB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Steven Sims,SEA,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Devin Singletary,NYG,RB,0,0,0,0.0,53,223,4.2,2,10,72,7.2,0,0,0,0,0
Nicholas Singleton,FA,RB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Ben Sinnott,WAS,TE,0,0,0,0.0,0,0,0.0,0,23,230,10.0,2,0,0,0,0
Cam Skattebo,NYG,RB,0,0,0,0.0,130,548,4.2,4,30,215,7.2,1,0,0,0,0
Ben Skowronek,PIT,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Darius Slayton,NYG,WR,0,0,0,0.0,0,0,0.0,0,37,548,14.8,3,0,0,0,0
Joey Slye,TEN,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Stone Smartt,NYJ,TE,0,0,0,0.0,0,0,0.0,0,17,176,10.4,1,0,0,0,0
DeVonta Smith,PHI,WR,0,0,0,0.0,1,5,5.0,0,76,945,12.4,6,0,0,0,0
Brashard Smith,KC,RB,0,0,0,0.0,34,145,4.3,1,11,81,7.4,1,0,0,0,0
Ainias Smith,PHI,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,52,0,9,0
Xavier Smith,LAR,WR,0,0,0,0.0,3,17,5.7,0,3,35,11.7,0,161,0,181,0
Geno Smith,LV,QB,3674,22,13,7.0,47,198,4.2,2,0,0,0.0,0,0,0,0,0
Jonnu Smith,PIT,TE,0,0,0,0.0,1,3,3.0,0,54,539,10.0,3,0,0,0,0
Arian Smith,NYJ,WR,0,0,0,0.0,3,15,5.0,0,15,180,12.0,1,0,0,0,0
Ihmir Smith-Marsette,NYG,WR,0,0,0,0.0,1,5,5.0,0,0,0,0.0,0,207,0,191,0
Jaxon Smith-Njigba,SEA,WR,0,0,0,0.0,6,28,4.7,0,85,933,11.0,6,0,0,0,0
Juju Smith-Schuster,KC,WR,0,0,0,0.0,0,0,0.0,0,14,144,10.3,1,0,0,0,0
Durham Smythe,CHI,TE,0,0,0,0.0,0,0,0.0,0,5,48,9.6,0,0,0,0,0
Brevyn Spann-Ford,DAL,TE,0,0,0,0.0,0,0,0.0,0,10,101,10.1,1,0,0,0,0
Tyjae Spears,TEN,RB,0,0,0,0.0,108,457,4.2,3,31,226,7.3,1,149,0,0,0
Amon-Ra St. Brown,DET,WR,0,0,0,0.0,2,12,6.0,0,105,1215,11.6,8,0,0,0,0
Equanimeous St. Brown,FA,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Matthew Stafford,LAR,QB,3880,25,12,7.2,25,37,1.5,0,0,0,0.0,0,0,0,0,0
Carson Steele,KC,RB,0,0,0,0.0,16,66,4.1,1,5,35,7.0,0,56,0,0,0
Drew Stevens,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Rhamondre Stevenson,NE,RB,0,0,0,0.0,142,601,4.2,4,26,183,7.0,1,0,0,0,0
Easton Stick,ATL,QB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Jarrett Stidham,DEN,QB,198,1,1,6.6,2,8,4.0,0,0,0,0.0,0,0,0,0,0
Jack Stoll,NO,TE,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Cade Stover,HOU,TE,0,0,0,0.0,0,0,0.0,0,14,141,10.1,1,0,0,0,0
Eli Stowers,FA,TE,0,0,0,0.0,0,0,0.0,0,11,101,9.2,1,0,0,0,0
Brenton Strange,JAX,TE,0,0,0,0.0,0,0,0.0,0,49,472,9.6,3,0,0,0,0
Pierre Strong,CLE,RB,0,0,0,0.0,9,38,4.2,0,3,22,7.3,0,78,0,0,0
C.J. Stroud,HOU,QB,3929,27,12,7.4,46,196,4.3,2,0,0,0.0,0,0,0,0,0
Courtland Sutton,DEN,WR,0,0,0,0.0,0,0,0.0,0,71,955,13.5,7,0,0,0,0
D'Andre Swift,CHI,RB,0,0,0,0.0,198,827,4.2,5,35,248,7.1,1,0,0,0,0
Tua Tagovailoa,MIA,QB,3832,25,12,7.3,26,71,2.7,1,0,0,0.0,0,0,0,0,0
Ryan Tannehill,FA,QB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Jonathan Taylor,IND,RB,0,0,0,0.0,279,1311,4.7,10,27,203,7.5,1,0,0,0,0
Patrick Taylor,SF,RB,0,0,0,0.0,10,42,4.2,0,4,29,7.3,0,102,0,0,0
Tyrod Taylor,NYJ,QB,205,1,1,6.8,3,15,5.0,0,0,0,0.0,0,0,0,0,0
Mason Taylor,NYJ,TE,0,0,0,0.0,0,0,0.0,0,47,476,10.1,3,0,0,0,0
Isaac TeSlaa,DET,WR,0,0,0,0.0,0,0,0.0,0,24,312,13.0,2,0,0,0,0
Adam Thielen,CAR,WR,0,0,0,0.0,1,5,5.0,0,56,619,11.1,4,0,0,0,0
Michael Thomas,FA,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Ian Thomas,LV,TE,0,0,0,0.0,0,0,0.0,0,3,29,9.7,0,0,0,0,0
Brian Thomas,JAX,WR,0,0,0,0.0,3,19,6.3,0,92,1269,13.8,8,0,0,0,0
Deven Thompkins,FA,WR,0,0,0,0.0,2,11,5.5,0,2,21,10.5,0,214,0,19,0
Skylar Thompson,PIT,QB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Dorian Thompson-Robinson,PHI,QB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Tyquan Thornton,KC,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Dont'e Thornton,LV,WR,0,0,0,0.0,2,12,6.0,0,23,307,13.3,2,0,0,0,0
Jamari Thrash,CLE,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Cedric Tillman,CLE,WR,0,0,0,0.0,1,5,5.0,0,40,527,13.2,3,0,0,0,0
Jalen Tolbert,DAL,WR,0,0,0,0.0,0,0,0.0,0,31,378,12.2,2,0,0,0,0
Kadarius Toney,FA,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Robert Tonyan,KC,TE,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Tyrone Tracy,NYG,RB,0,0,0,0.0,170,724,4.3,4,31,221,7.1,1,0,0,0,0
Kyle Trask,TB,QB,203,1,1,6.8,2,8,4.0,0,0,0,0.0,0,0,0,0,0
Adam Trautman,DEN,TE,0,0,0,0.0,0,0,0.0,0,12,115,9.6,1,0,0,0,0
Jordan Travis,NYJ,QB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Tommy Tremble,CAR,TE,0,0,0,0.0,0,0,0.0,0,14,140,10.0,1,0,0,0,0
Mitchell Trubisky,BUF,QB,205,1,1,6.8,2,8,4.0,0,0,0,0.0,0,0,0,0,0
Sean Tucker,TB,RB,0,0,0,0.0,51,221,4.3,2,9,65,7.2,0,685,2,0,0
Tre Tucker,LV,WR,0,0,0,0.0,8,36,4.5,0,26,322,12.4,2,75,0,112,0
Justin Tucker,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Clayton Tune,ARI,QB,196,1,1,6.5,2,8,4.0,0,0,0,0.0,0,0,0,0,0
DJ Turner,FA,WR,0,0,0,0.0,3,16,5.3,0,11,121,11.0,1,80,0,48,0
KaVontae Turpin,DAL,WR,0,0,0,0.0,13,77,5.9,1,25,322,12.9,2,671,1,173,0
Bhayshul Tuten,JAX,RB,0,0,0,0.0,105,447,4.3,3,23,170,7.4,1,0,0,0,0
C.J. Uzomah,FA,TE,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Sione Vaki,DET,RB,0,0,0,0.0,5,22,4.4,0,3,23,7.7,0,0,0,0,0
Marquez Valdes-Scantling,SEA,WR,0,0,0,0.0,0,0,0.0,0,30,461,15.4,3,0,0,0,0
Nick Vannett,FA,TE,0,0,0,0.0,0,0,0.0,0,3,29,9.7,0,0,0,0,0
Deuce Vaughn,DAL,RB,0,0,0,0.0,8,31,3.9,0,2,15,7.5,0,0,0,0,0
Devaughn Vele,DEN,WR,0,0,0,0.0,1,3,3.0,0,31,305,9.8,2,0,0,0,0
Kimani Vidal,LAC,RB,0,0,0,0.0,25,105,4.2,1,5,35,7.0,0,0,0,0,0
Jaylen Waddle,MIA,WR,0,0,0,0.0,4,0,0.0,0,71,933,13.1,6,0,0,0,0
Kenneth Walker,SEA,RB,0,0,0,0.0,204,879,4.3,6,31,233,7.5,1,0,0,0,0
Devontez Walker,BAL,WR,0,0,0,0.0,1,5,5.0,0,8,122,15.3,1,51,0,0,0
Tylan Wallace,BAL,WR,0,0,0,0.0,1,5,5.0,0,6,84,14.0,1,50,0,63,0
Darren Waller,MIA,TE,0,0,0,0.0,0,0,0.0,0,52,568,10.9,4,0,0,0,0
Cam Ward,TEN,QB,3380,20,14,6.7,80,392,4.9,3,0,0,0.0,0,0,0,0,0
Tyler Warren,IND,TE,0,0,0,0.0,2,11,5.5,0,61,624,10.2,4,0,0,0,0
Jaylen Warren,PIT,RB,0,0,0,0.0,171,747,4.4,4,42,311,7.4,1,207,0,0,0
Parker Washington,JAX,WR,0,0,0,0.0,2,8,4.0,0,24,264,11.0,2,128,0,72,0
Darnell Washington,PIT,TE,0,0,0,0.0,0,0,0.0,0,14,142,10.1,1,0,0,0,0
Malik Washington,MIA,WR,0,0,0,0.0,3,17,5.7,0,30,308,10.3,2,252,1,103,0
Jordan Watkins,SF,WR,0,0,0,0.0,0,0,0.0,0,3,36,12.0,0,0,0,0,0
Justin Watson,HOU,WR,0,0,0,0.0,0,0,0.0,0,8,111,13.9,1,0,0,0,0
Deshaun Watson,CLE,QB,395,2,2,6.6,9,47,5.2,1,0,0,0.0,0,0,0,0,0
Christian Watson,GB,WR,0,0,0,0.0,1,5,5.0,0,14,227,16.2,2,0,0,0,0
Antwane Wells,NYG,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Carson Wentz,FA,QB,201,1,1,6.7,2,7,3.5,0,0,0,0.0,0,0,0,0,0
Nick Westbrook-Ikhine,MIA,WR,0,0,0,0.0,0,0,0.0,0,26,347,13.3,3,0,0,0,0
Mike White,BUF,QB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Zamir White,LV,RB,0,0,0,0.0,26,107,4.1,1,3,21,7.0,0,0,0,0,0
Rachaad White,TB,RB,0,0,0,0.0,80,335,4.2,2,33,241,7.3,1,0,0,0,0
Ricky White,SEA,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Jordan Whittington,LAR,WR,0,0,0,0.0,6,29,4.8,0,42,460,11.0,3,535,0,0,0
Josh Whyle,TEN,TE,0,0,0,0.0,0,0,0.0,0,14,135,9.6,1,0,0,0,0
Dontayvion Wicks,GB,WR,0,0,0,0.0,0,0,0.0,0,37,467,12.6,3,0,0,0,0
Javonte Williams,DAL,RB,0,0,0,0.0,102,423,4.1,3,24,162,6.8,1,0,0,0,0
Avery Williams,PHI,RB,0,0,0,0.0,8,33,4.1,0,3,22,7.3,0,311,0,154,0
Mike Williams,LAC,WR,0,0,0,0.0,0,0,0.0,0,20,259,13.0,2,23,0,209,0
Jamaal Williams,FA,RB,0,0,0,0.0,15,60,4.0,0,3,21,7.0,0,75,0,0,0
Caleb Williams,CHI,QB,3633,23,12,7.0,70,384,5.5,4,0,0,0.0,0,0,0,0,0
Savion Williams,GB,WR,0,0,0,0.0,4,20,5.0,0,20,242,12.1,2,0,0,0,0
Isaiah Williams,CIN,WR,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Kyren Williams,LAR,RB,0,0,0,0.0,260,1105,4.3,10,30,210,7.0,1,0,0,0,0
Jameson Williams,DET,WR,0,0,0,0.0,13,71,5.5,1,59,943,16.0,6,0,0,0,0
Kyle Williams,NE,WR,0,0,0,0.0,0,0,0.0,0,40,588,14.7,4,0,0,0,0
Malik Willis,GB,QB,191,1,1,6.6,6,39,6.5,1,0,0,0.0,0,0,0,0,0
Garrett Wilson,NYJ,WR,0,0,0,0.0,7,36,5.1,0,84,1003,11.9,6,0,0,0,0
Michael Wilson,ARI,WR,0,0,0,0.0,0,0,0.0,0,41,532,13.0,3,0,0,0,0
Johnny Wilson,PHI,WR,0,0,0,0.0,0,0,0.0,0,8,105,13.1,1,0,0,0,0
Roman Wilson,PIT,WR,0,0,0,0.0,0,0,0.0,0,24,331,13.8,2,0,0,0,0
Emanuel Wilson,GB,RB,0,0,0,0.0,50,215,4.3,2,10,74,7.4,0,0,0,0,0
Russell Wilson,NYG,QB,2349,14,7,7.0,40,165,4.1,2,0,0,0.0,0,0,0,0,0
Jeff Wilson,FA,RB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Cedrick Wilson,NO,WR,0,0,0,0.0,0,0,0.0,0,2,21,10.5,0,0,0,0,0
Zach Wilson,MIA,QB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Jameis Winston,NYG,QB,420,3,2,7.0,5,15,3.0,0,0,0,0.0,0,0,0,0,0
Charlie Woerner,ATL,TE,0,0,0,0.0,0,0,0.0,0,7,62,8.9,1,0,0,0,0
Robert Woods,PIT,WR,0,0,0,0.0,0,0,0.0,0,24,257,10.7,2,0,0,0,0
Jelani Woods,IND,TE,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Michael Woods,CLE,WR,0,0,0,0.0,0,0,0.0,0,11,128,11.6,1,0,0,0,0
Xavier Worthy,KC,WR,0,0,0,0.0,16,92,5.8,1,68,840,12.4,7,0,0,0,0
Jaylen Wright,MIA,RB,0,0,0,0.0,92,402,4.4,3,20,147,7.4,1,50,0,0,0
Brock Wright,DET,TE,0,0,0,0.0,0,0,0.0,0,12,122,10.2,1,0,0,0,0
Matthew Wright,CAR,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Marcus Yarns,NO,RB,0,0,0,0.0,5,21,4.2,0,1,7,7.0,0,0,0,0,0
Kenny Yeboah,DET,TE,0,0,0,0.0,0,0,0.0,0,4,40,10.0,0,0,0,0,0
Cade York,CIN,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Bryce Young,CAR,QB,3413,21,12,6.8,57,297,5.2,3,0,0,0.0,0,0,0,0,0
Benjamin Yurosek,MIN,TE,0,0,0,0.0,0,0,0.0,0,11,101,9.2,1,0,0,0,0
Olamide Zaccheaus,CHI,WR,0,0,0,0.0,1,3,3.0,0,23,238,10.3,2,0,0,62,0
Bailey Zappe,KC,QB,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Greg Zuerlein,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Dominic Zvada,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Shane Zylstra,DET,TE,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0